Date,Open,High,Low,Close,Volume,Market Cap,Rounded Low,Spread (Hi-Low),Spread(Close-Open)
3/7/19,3903.38,3939.37,3894.11,3911.48,3139532044,68749421311,3910,45.26,8.1
3/6/19,3897.08,3919.51,3871.46,3903.94,3006107299,68609885776,3900,48.05,6.86
3/5/19,3759.83,3903.92,3745.18,3896.38,3423719699,68470655400,3800,158.74,136.55
3/4/19,3845.09,3867.38,3733.75,3761.56,3567932479,66094551587,3700,133.63,-83.53
3/3/19,3862.27,3875.48,3836.91,3847.18,4433945452,67592376373,3800,38.57,-15.09
3/2/19,3855.32,3874.61,3832.13,3864.42,2316638751,67888255371,3800,42.48,9.1
3/1/19,3853.76,3907.8,3851.69,3859.58,2876653861,67796965743,3800,56.11,5.82
2/28/19,3848.26,3906.06,3845.82,3854.79,3516776376,67704774107,3800,60.24,6.53
2/27/19,3857.48,3888.8,3787.06,3851.05,3185789557,67631949500,3800,101.74,-6.43
2/26/19,3878.7,3891.58,3837.99,3854.36,3030567347,67683296223,3800,53.59,-24.34
2/25/19,3807,3913.71,3807,3882.7,3249594646,68173204651,3800,106.71,75.7
2/24/19,4145.46,4210.64,3793.71,3810.43,2450179687,66897483404,3800,416.93,-335.03
2/23/19,3998.92,4166.29,3968.73,4142.53,2609705976,72720867208,4100,197.56,143.61
2/22/19,3952.41,4006.54,3950.82,4005.53,2742074860,70308555857,4000,55.72,53.12
2/21/19,4000.26,4010.01,3940.11,3954.12,2977710360,69398333876,3900,69.9,-46.14
2/20/19,3946.68,4000.49,3926.25,3999.82,3176812630,70194350042,3900,74.24,53.14
2/19/19,3911.66,4010.88,3908.15,3947.09,3302161523,69262673238,3900,102.73,35.43
2/18/19,3671.37,3936.67,3669.98,3915.71,2793238662,68704389994,3900,266.69,244.34
2/17/19,3633.36,3680.54,3619.18,3673.84,1761878769,64453368779,3600,61.36,40.48
2/16/19,3615.27,3652.84,3615.27,3629.79,2002894000,63673369195,3600,37.57,14.52
2/15/19,3617.37,3647.8,3608.21,3620.81,2397273630,63509111125,3600,39.59,3.44
2/14/19,3631.17,3646.26,3607.7,3616.88,2103498952,63434486052,3600,38.56,-14.29
2/13/19,3653.6,3669.75,3617.25,3632.07,2688426223,63694394519,3600,52.5,-21.53
2/12/19,3642.75,3668.59,3618.56,3653.53,2498980530,64063755250,3600,50.03,10.78
2/11/19,3695.61,3695.61,3642.29,3648.43,2375287717,63968390250,3600,53.32,-47.18
2/10/19,3673.2,3695.04,3640.98,3690.19,1609282877,64694025951,3600,54.06,16.99
2/9/19,3671.59,3679.94,3646.56,3671.2,2073127480,64354732475,3600,33.38,-0.39
2/8/19,3401.38,3695.61,3391.02,3666.78,2568370006,64270269953,3600,304.59,265.4
2/7/19,3414.93,3427.95,3394.22,3399.47,2215865591,59578075991,3300,33.73,-15.46
2/6/19,3469.09,3469.09,3398.57,3413.77,2336047750,59821158612,3400,70.52,-55.32
2/5/19,3454.95,3478.15,3451.94,3466.36,2164584541,60735563490,3400,26.21,11.41
2/4/19,3467.21,3476.22,3442.59,3459.15,2041334888,60603083461,3400,33.63,-8.06
2/3/19,3516.14,3521.39,3447.92,3464.01,1696072713,60681847608,3400,73.47,-52.13
2/2/19,3484.63,3523.29,3467.57,3521.06,1942097955,61675119055,3500,55.72,36.43
2/1/19,3460.55,3501.95,3431.59,3487.95,3211674949,61088747491,3400,70.36,27.4
1/31/19,3485.41,3504.8,3447.92,3457.79,2628407497,60553903927,3400,56.88,-27.62
1/30/19,3443.9,3495.17,3429.39,3486.18,2786886689,61044262622,3400,65.78,42.28
1/29/19,3468.87,3476.07,3400.82,3448.12,2602593778,60371874099,3400,75.25,-20.75
1/28/19,3584.28,3586.75,3439.23,3470.45,3053109098,60756570314,3400,147.52,-113.83
1/27/19,3604.69,3612.67,3567.25,3583.97,1514914141,62737274093,3500,45.42,-20.72
1/26/19,3599.72,3654.93,3593.35,3602.46,1765710282,63054898963,3600,61.58,2.74
1/25/19,3607.39,3612.93,3575.6,3599.77,2409407403,63000985908,3500,37.33,-7.62
1/24/19,3584.5,3616.09,3569.09,3600.87,2342902578,63014066012,3600,47,16.37
1/23/19,3605.56,3623.07,3565.31,3585.12,2462429217,62731361272,3500,57.76,-20.44
1/22/19,3575.08,3620.75,3539.72,3604.58,2465707443,63065139424,3600,81.03,29.5
1/21/19,3600.37,3608.84,3558.54,3576.03,2131453314,62559869612,3500,50.3,-24.34
1/20/19,3725.45,3743.39,3583.02,3601.01,1758188143,62990143284,3600,160.37,-124.44
1/19/19,3652.38,3758.53,3652.38,3728.57,1597414274,65214103659,3700,106.15,76.19
1/18/19,3677.99,3682.52,3637.08,3657.84,2303294722,63970991867,3600,45.44,-20.15
1/17/19,3651.87,3680.14,3621.96,3678.56,2406477931,64327048255,3600,58.18,26.69
1/16/19,3631.51,3685.78,3624.67,3655.01,2749510107,63909348776,3600,61.11,23.5
1/15/19,3704.22,3720.15,3619.95,3630.68,3508926252,63477817959,3600,100.2,-73.54
1/14/19,3557.31,3727.84,3552.29,3706.05,2429771522,64789619995,3700,175.55,148.74
1/13/19,3658.87,3674.76,3544.93,3552.95,1830568206,62106461671,3500,129.83,-105.92
1/12/19,3686.97,3698.98,3653.81,3661.3,1961361918,63994140882,3600,45.17,-25.67
1/11/19,3674.02,3713.88,3653.07,3687.37,3325068113,64443301117,3600,60.81,13.35
1/10/19,4034.41,4064.07,3659.17,3678.92,3387830325,64288932886,3600,404.9,-355.49
1/9/19,4031.55,4068.4,4022.66,4035.3,2888254608,70508733459,4000,45.74,3.75
1/8/19,4028.47,4109.02,3996.96,4030.85,2748920924,70422743854,4000,112.06,2.38
1/7/19,4078.59,4092.61,4020.89,4025.25,3012310952,70316305580,4000,71.72,-53.34
1/6/19,3836.52,4093.3,3826.51,4076.63,2017353745,71206795853,4000,266.79,240.11
1/5/19,3851.97,3904.9,3836.9,3845.19,2039152891,67157570935,3800,68,-6.78
1/4/19,3832.04,3865.93,3783.85,3857.72,2810816255,67368333500,3800,82.08,25.68
1/3/19,3931.05,3935.69,3826.22,3836.74,2779411253,66994920903,3800,109.47,-94.31
1/2/19,3849.22,3947.98,3817.41,3943.41,2487460410,68849856732,3900,130.57,94.19
1/1/19,3746.71,3850.91,3707.23,3843.52,1421421928,67098634181,3800,143.68,96.81
12/31/18,3866.84,3868.74,3725.87,3742.7,2033378718,65331499158,3700,142.87,-124.14
12/30/18,3822.38,3901.91,3797.22,3865.95,1552805206,67475512827,3800,104.69,43.57
12/29/18,3932.49,3963.76,3820.41,3820.41,2700809176,66672244158,3800,143.35,-112.08
12/28/18,3653.13,3956.14,3642.63,3923.92,2913482332,68471837969,3900,313.51,270.79
12/27/18,3854.69,3874.42,3645.45,3654.83,2797136914,63768757101,3600,228.97,-199.86
12/26/18,3819.67,3893.36,3769.86,3857.3,2400609268,67292819465,3800,123.5,37.63
12/25/18,4081.03,4089.56,3760.02,3815.49,2192907373,66556033172,3800,329.54,-265.54
12/24/18,4000.33,4271.79,4000.33,4078.6,2750730821,71137548589,4000,271.46,78.27
12/23/18,4020.99,4085.72,3976.41,3998.98,1785125966,69741217417,3900,109.31,-22.01
12/22/18,3898.08,4014.18,3855.74,4014.18,1937020369,69997508295,4000,158.44,116.1
12/21/18,4133.7,4198.43,3850.95,3896.54,3687550544,67937650255,3800,347.48,-237.16
12/20/18,3742.2,4191.23,3728.97,4134.44,3347240927,72078243771,4100,462.26,392.24
12/19/18,3706.82,3949.32,3687.23,3745.95,3870951779,65299132785,3700,262.09,39.13
12/18/18,3544.76,3701.35,3487.17,3696.06,3317923738,64422587801,3600,214.18,151.3
12/17/18,3253.12,3597.92,3253.12,3545.86,2621840109,61798926687,3500,344.8,292.74
12/16/18,3236.27,3305.75,3233.82,3252.84,1805117143,56685436644,3200,71.93,16.57
12/15/18,3244,3275.38,3191.3,3236.76,1704903334,56400691425,3200,84.08,-7.24
12/14/18,3311.75,3329.56,3206.54,3242.48,2561855481,56494379457,3200,123.02,-69.27
12/13/18,3487.88,3489.74,3298.13,3313.68,2700954007,57728688216,3300,191.61,-174.2
12/12/18,3421.46,3534.23,3413.48,3486.95,2468473120,60741625426,3400,120.75,65.49
12/11/18,3497.55,3513.18,3392.25,3424.59,2717321816,59650201102,3400,120.93,-72.96
12/10/18,3612.05,3647.33,3470.14,3502.66,2445502643,61004445982,3500,177.19,-109.39
12/9/18,3473.23,3685.31,3469.09,3614.23,1411352431,62942160928,3600,216.22,141
12/8/18,3421.91,3506.04,3350.65,3476.11,1820629973,60531278392,3400,155.39,54.2
12/7/18,3512.59,3512.59,3280.23,3419.94,3245897567,59547645578,3400,232.36,-92.65
12/6/18,3754.07,3874.97,3521.1,3521.1,4586018867,61303965508,3500,353.87,-232.97
12/5/18,3958.89,3969.54,3753.99,3753.99,5179727886,65352496336,3700,215.55,-204.9
12/4/18,3886.29,4075.63,3832.75,3956.89,7038744245,68878292608,3900,242.88,70.6
12/3/18,4147.32,4155.98,3840.45,3894.13,4441679971,67779050170,3800,315.53,-253.19
